Job Classification,Age (bin),Balance (bin),Gender,Region,Age,Balance
White Collar,21,110K,Male,England,21,113810.15
Blue Collar,34,35K,Female,Northern Ireland,34,36919.73
White Collar,46,100K,Male,England,46,101536.83
White Collar,32,0K,Male,Wales,32,1421.52
Blue Collar,38,35K,Female,England,38,35639.79
Blue Collar,30,120K,Female,Wales,30,122443.77
Blue Collar,34,40K,Female,England,34,42879.84
Other,48,35K,Female,Scotland,48,36680.17
White Collar,33,70K,Female,Wales,33,74284.35
White Collar,42,10K,Male,England,42,10912.45
White Collar,40,35K,Male,England,40,39667.83
White Collar,39,30K,Male,England,39,32281.62
White Collar,24,40K,Male,England,24,40781.63
Other,46,45K,Male,Scotland,46,48791.46
Other,36,0K,Female,Wales,36,2846.03
White Collar,42,0K,Male,England,42,2116.85
Other,31,10K,Female,Scotland,31,10356.31
Other,42,0K,Female,Scotland,42,3801.69
Blue Collar,40,65K,Male,England,40,65534.69
Blue Collar,46,10K,Female,England,46,11462.64
Other,37,30K,Male,Wales,37,31778.9
Blue Collar,58,20K,Male,Scotland,58,21252.97
White Collar,41,65K,Female,Wales,41,66785.78
Blue Collar,52,5K,Male,Scotland,52,6580.81
White Collar,38,20K,Female,England,38,20505.32
Blue Collar,55,40K,Male,Scotland,55,43249.26
White Collar,37,0K,Female,Northern Ireland,37,3967.2
White Collar,33,0K,Female,England,33,3428.56
Blue Collar,50,20K,Male,Scotland,50,20516.1
White Collar,42,10K,Male,England,42,10813.83
White Collar,25,35K,Female,England,25,38889.76
White Collar,30,10K,Male,Wales,30,14094.01
Other,58,25K,Female,Scotland,58,25865.2
Other,26,5K,Male,England,26,5833.62
Blue Collar,34,75K,Female,England,34,77809.59
White Collar,36,30K,Female,England,36,31680.67
White Collar,33,20K,Female,England,33,20504.37
Other,31,5K,Male,England,31,5688.36
Blue Collar,35,10K,Male,Scotland,35,12848.59
Other,59,110K,Male,Scotland,59,114456.23
Blue Collar,27,50K,Male,England,27,51412.6
White Collar,35,5K,Female,England,35,9695.7
Blue Collar,49,110K,Male,Scotland,49,114021.21
Other,22,105K,Female,Northern Ireland,22,107728.07
Other,53,0K,Female,England,53,2893.19
Other,47,50K,Female,Scotland,47,54589.61
Other,32,55K,Female,Scotland,32,59501.63
Other,19,10K,Female,Northern Ireland,19,14337.82
White Collar,27,20K,Male,England,27,23921.89
White Collar,39,35K,Male,England,39,39034.14
Blue Collar,29,0K,Female,England,29,1401.43
Blue Collar,31,40K,Female,England,31,41626.25
Other,37,45K,Female,England,37,47551.7
White Collar,32,20K,Female,England,32,24187.98
White Collar,24,0K,Male,England,24,4912.21
White Collar,40,55K,Male,England,40,58391.45
